RadTrack,Copyright 2012-2014 by RadiaBeam Technologies LLC - All rights reserved (C)
 p0 [eV],Q [C],mass [eV]
 200000000.0,1e-09,510998.909848
 x,xp,y,yp,s,dp
 [m],[rad],[m],[rad],[m],[rad]
-1.670829522613e-03,1.617777229169e-02,1.512198489805e-03,1.781815821940e-03,1.850836976252e-03,4.483102431181e-07
-2.506328249301e-04,3.286175080606e-03,1.229612886096e-03,6.090493849917e-04,3.357208833432e-05,1.392857344905e-03
1.409358057020e-03,-1.492633818146e-02,-2.621755774687e-03,1.214974872117e-03,-7.561417977247e-04,6.144268608691e-04
9.837248921990e-04,-1.067836376255e-02,-1.857700650476e-03,2.116037893272e-03,3.302429415171e-04,-2.207372269414e-05
3.861786683357e-04,-2.321205690756e-03,-5.933193364656e-04,2.478341214104e-03,-6.484137692224e-04,6.913566570472e-04
1.188253109915e-03,-1.163865041828e-02,-2.318386725620e-04,1.420356269419e-04,2.739872687808e-04,1.327521024245e-03
3.958334801273e-04,-3.553966008267e-03,1.315547261824e-03,2.139512462453e-03,6.621190404130e-04,-2.750671878476e-03
1.107209857909e-05,-1.794170980614e-03,-2.335020615829e-05,1.103236451832e-03,4.664509085658e-04,-1.292249138681e-03
-2.460707507828e-04,1.273452275662e-03,1.696497163287e-03,-7.336671501619e-04,1.567425640698e-04,-5.995055122956e-04
-4.920459178853e-04,4.508370782062e-03,1.159051596051e-03,8.520643430085e-04,-9.552134024319e-04,1.706854254115e-03
-1.824329104309e-03,1.866328021676e-02,-8.274963397875e-04,2.944439856102e-03,-1.755345837398e-03,5.247662499046e-04
-1.372547664302e-03,1.224836233299e-02,1.989500990541e-04,3.668369261125e-04,-1.227984985539e-03,-1.892729416518e-03
5.126256238036e-04,-4.609812368443e-03,1.293074287653e-03,7.959708117568e-04,-1.441258108845e-03,-1.431815793856e-03
-3.084856311122e-04,4.500483410011e-03,-8.506754200850e-04,1.473648252858e-03,-1.101047023121e-03,-1.176943970398e-03
-5.839614331640e-04,6.146544940545e-03,9.970964833005e-04,2.115798699078e-03,-2.427049737152e-03,-1.179581802098e-04
-5.358163204123e-04,6.290626778402e-03,5.145962911774e-04,1.582575771012e-03,1.752253297243e-03,-1.996615967429e-03
-1.137411547204e-03,1.109518991821e-02,-4.726270067977e-04,2.350818170000e-03,-1.645762156929e-05,-6.707319215676e-04
8.328436763400e-04,-1.010728225338e-02,-4.205830451151e-04,1.978461835683e-03,-1.783290455662e-04,-1.189047244640e-03
4.442097760011e-04,-3.822078431066e-03,-1.100334265665e-03,1.422119575162e-03,-1.577128739191e-03,1.335239131875e-03
1.031920039356e-03,-8.422142369265e-03,4.661491411889e-04,7.316402020536e-04,-4.828611451883e-05,-1.378397559695e-03
2.540998518023e-04,-3.448906562776e-03,1.171667455417e-03,1.684462851762e-03,-7.213266056707e-04,-1.956631886559e-03
1.130571773147e-05,1.669900936867e-04,1.053418995525e-03,9.749407962318e-04,-2.125148212723e-03,8.300362658893e-04
1.401713613271e-03,-1.213814486199e-02,-1.420588193513e-03,2.161824179791e-03,2.105338682383e-04,6.663041026038e-04
-1.370383909089e-03,1.327880172617e-02,2.891033419442e-04,2.918014369770e-03,2.268950978343e-04,-5.866189215497e-04
8.007047929386e-04,-8.600256843889e-03,2.325937182169e-03,7.366862589311e-04,-1.302666744168e-03,1.922838763067e-04
5.892686255799e-04,-6.193228324194e-03,3.927326859546e-04,1.490883830155e-03,8.279112896305e-04,-2.004586491458e-03
-2.648300611957e-04,1.459022186214e-03,-8.049699812184e-04,-1.131685927271e-04,1.794270155738e-03,5.535432344142e-04
-4.420187424726e-04,4.993927302351e-03,1.990185907941e-03,2.242029041528e-03,2.130312223946e-04,-5.154499504084e-04
-3.738477233020e-04,3.642529306792e-03,7.063592384686e-05,2.393982911132e-04,-1.659756832564e-03,1.000479073300e-03
-6.801280731688e-04,8.820616649120e-03,-1.534815915675e-03,1.605222457590e-04,9.815468981687e-04,4.544167678014e-04
2.440920642824e-03,-2.334333977106e-02,-8.779850449693e-04,2.485959746464e-03,7.556518514145e-05,1.620097588257e-03
-7.369623598251e-04,6.631103709014e-03,-5.227421404031e-04,2.634910903207e-04,4.272377770522e-04,-1.131494776808e-03
-1.013980580106e-03,1.089260439483e-02,4.099158493679e-04,5.463354983093e-04,1.261343958883e-04,8.887136006979e-04
1.351954541735e-03,-1.448652801818e-02,-1.178072160607e-03,1.816339934688e-03,-1.620742171059e-03,1.273662769436e-03
8.035061515366e-04,-7.689447247883e-03,6.739262725199e-04,9.689293644187e-04,1.732513269297e-03,-2.247667342222e-03
-3.428311892971e-04,4.526601130750e-03,2.491020996471e-05,3.196500640668e-04,-7.718761421194e-04,5.047628146987e-04
7.198988834292e-04,-8.164505891489e-03,4.054408699039e-04,1.970717444323e-04,9.717891927572e-04,2.269617256858e-04
-2.030913688248e-03,2.186495698314e-02,-5.471184028745e-04,1.299044206192e-03,2.377657489281e-04,-9.382861118878e-04
2.593897644459e-04,-1.696751540356e-03,-1.319418677104e-03,3.178911287600e-03,1.974770842595e-03,6.302264319678e-04
1.178745049585e-03,-1.241041622727e-02,8.209014384133e-04,3.096037825547e-03,-9.093301991082e-04,1.991040246197e-04
2.661152446395e-04,-2.736283926134e-03,1.891605713141e-04,4.067433250343e-04,-1.712835205083e-04,-2.314015859614e-03
-1.108494659000e-03,1.039080306847e-02,2.382195037616e-04,1.586263009885e-03,-1.107071283702e-03,1.120279130002e-03
-2.020987509991e-04,3.064118136115e-03,1.880145425288e-03,2.693088708589e-03,4.040143705854e-04,7.097215519546e-04
-9.844042960383e-04,1.028212484499e-02,-7.806364846063e-04,1.745432415551e-03,-1.413782163234e-04,1.324208165318e-04
-4.734273677085e-04,3.163936546549e-03,-1.169721684933e-03,8.347588024157e-04,6.271118252236e-04,6.209997744938e-04
1.138369418153e-03,-1.194507705791e-02,9.045912867916e-04,-1.120190595626e-03,5.341112848733e-04,3.296939217532e-04
-1.731159471242e-03,1.693281455094e-02,4.059399312783e-04,2.050730013979e-03,5.323021843199e-04,1.440060936643e-03
5.690511522436e-04,-4.159033682190e-03,7.482864249284e-04,-1.095680763136e-03,-1.936357539599e-03,1.264220951825e-03
1.242137244874e-03,-1.309366372802e-02,1.494549129173e-04,9.882049974910e-04,-1.969330213897e-04,-3.091310343419e-04
3.106379055934e-05,-9.137059792657e-04,-1.934146195144e-03,1.274079814165e-03,7.843712083981e-05,-1.401879516437e-03
-1.017952155218e-03,1.110918381416e-02,-5.528364649515e-04,1.618203285171e-03,-2.935839410385e-04,9.577690276691e-05
3.050906925356e-04,-4.903005730569e-03,-5.173809383442e-04,1.966373930169e-03,7.269877125587e-04,-7.192950729884e-04
-8.760744554387e-04,8.498664994842e-03,1.679064166087e-03,1.005369574918e-03,-1.770148535341e-03,2.865633782906e-04
-8.270083553858e-04,8.919981848788e-03,1.035581647823e-03,3.508888593951e-03,5.607161958841e-04,7.119665319884e-04
5.013418078665e-05,-5.801421673340e-04,-1.536896399299e-03,1.373990384138e-03,1.526152326592e-03,-8.221504798148e-04
1.319700247739e-03,-1.288923378176e-02,-5.359457301140e-04,1.195045429509e-03,-1.233959337896e-03,-1.801829814141e-03
-1.545227596931e-03,1.662054946165e-02,1.908111121656e-04,1.889539971604e-03,6.508105722969e-04,-1.072956455265e-03
1.361814503782e-03,-1.333729188663e-02,6.354274685972e-04,5.586292755816e-04,-6.921510501127e-04,-1.936165187914e-03
-9.265236466368e-04,9.327938946539e-03,-6.107403914971e-04,1.925613449538e-03,7.501551816992e-04,1.244633833653e-03
